filename,width,height,class,xmin,ymin,xmax,ymax
french_fries/100148.jpg,512,384,french_fries,192,67,478,368
french_fries/1008163.jpg,512,512,french_fries,3,76,508,512
french_fries/1008945.jpg,512,512,french_fries,5,30,504,511
french_fries/1009455.jpg,512,512,french_fries,1,118,507,512
french_fries/1020588.jpg,307,512,french_fries,46,202,268,345
french_fries/1033213.jpg,512,512,french_fries,1,23,510,508
french_fries/1035421.jpg,512,512,french_fries,100,62,442,206
french_fries/1049122.jpg,512,382,french_fries,53,125,440,321
french_fries/10500.jpg,512,384,french_fries,129,36,492,346
french_fries/1060646.jpg,512,506,french_fries,48,38,482,455
french_fries/1064632.jpg,512,512,french_fries,58,154,443,435
french_fries/1071481.jpg,512,341,french_fries,8,30,444,325
french_fries/1074446.jpg,512,512,french_fries,78,71,444,411
french_fries/1078563.jpg,512,512,french_fries,5,224,504,504
french_fries/1080215.jpg,512,512,french_fries,1,1,505,511
french_fries/1083531.jpg,512,512,french_fries,1,1,452,332
french_fries/108743.jpg,512,384,french_fries,163,127,443,383
french_fries/1089500.jpg,382,512,french_fries,86,139,302,284
french_fries/10897.jpg,384,512,french_fries,79,128,252,356
french_fries/109401.jpg,382,512,french_fries,1,8,377,508
french_fries/1099260.jpg,512,512,french_fries,1,1,508,509
french_fries/1101970.jpg,512,384,french_fries,1,2,500,376
french_fries/110385.jpg,384,512,french_fries,1,106,384,470
french_fries/1112960.jpg,512,512,french_fries,112,1,512,456
french_fries/112309.jpg,512,511,french_fries,105,33,397,345
french_fries/1129645.jpg,512,288,french_fries,1,1,510,285
french_fries/1131104.jpg,512,384,french_fries,43,25,441,303
french_fries/1132539.jpg,512,512,french_fries,1,16,510,509
french_fries/1133382.jpg,512,384,french_fries,71,208,477,356
french_fries/1150103.jpg,512,512,french_fries,1,1,510,508
french_fries/1165966.jpg,505,512,french_fries,1,2,502,510
french_fries/1177340.jpg,384,512,french_fries,1,19,381,400
french_fries/1191743.jpg,512,512,french_fries,120,97,461,435
french_fries/1192860.jpg,512,512,french_fries,108,59,512,459
french_fries/1197437.jpg,512,384,french_fries,1,51,499,333
french_fries/1198412.jpg,512,384,french_fries,1,4,512,383
french_fries/1209297.jpg,306,512,french_fries,11,51,281,243
french_fries/1215903.jpg,512,512,french_fries,111,161,507,445
french_fries/1221000.jpg,512,512,french_fries,1,3,509,509
french_fries/1238390.jpg,512,512,french_fries,2,1,506,505
french_fries/123902.jpg,512,382,french_fries,77,70,303,278
french_fries/123929.jpg,382,512,french_fries,1,137,382,511
