filename,width,height,class,xmin,ymin,xmax,ymax
pizza/147785.jpg,384,512,pizza,1,212,384,478
hotdog/127117.jpg,512,341,hotdog,139,156,367,288
hotdog/112692.jpg,512,342,hotdog,20,25,507,326
pizza/153195.jpg,382,512,pizza,11,257,183,456
pizza/153195.jpg,382,512,pizza,192,252,382,447
hamburger/1126075.jpg,512,512,hamburger,46,9,500,382
hamburger/406390.jpg,512,306,hamburger,100,41,378,214
french_fries/1346017.jpg,512,512,french_fries,1,11,505,490
french_fries/251128.jpg,384,512,french_fries,1,91,384,441
french_fries/1376608.jpg,512,384,french_fries,3,14,464,380
french_fries/1610240.jpg,512,512,french_fries,13,9,510,512
hotdog/315220.jpg,512,384,hotdog,151,127,397,343
pizza/134462.jpg,512,382,pizza,1,106,512,382
hamburger/22923.jpg,512,384,hamburger,148,53,381,334
french_fries/622646.jpg,512,512,french_fries,3,1,495,337
hotdog/103364.jpg,512,341,hotdog,49,84,507,251
hotdog/307557.jpg,512,306,hotdog,179,141,339,269
hotdog/307557.jpg,512,306,hotdog,236,108,388,234
sushi/319682.jpg,512,384,sushi,24,155,181,250
pizza/335474.jpg,384,512,pizza,1,110,384,512
sushi/1531389.jpg,512,429,sushi,208,294,307,389
sushi/1531389.jpg,512,429,sushi,146,242,232,340
sushi/926416.jpg,512,512,sushi,190,357,288,458
sushi/926416.jpg,512,512,sushi,149,66,223,142
hamburger/79711.jpg,383,512,hamburger,17,162,316,392
sushi/200025.jpg,382,512,sashimi,1,174,262,432
sushi/763924.jpg,512,384,sushi,1,70,220,369
sushi/763924.jpg,512,384,sushi,216,77,471,352
hamburger/298239.jpg,382,512,hamburger,11,100,357,439
sushi/72926.jpg,384,512,sushi,41,301,182,494
pizza/195160.jpg,512,384,pizza,91,146,431,358
french_fries/491207.jpg,512,512,french_fries,3,5,512,387
hamburger/642418.jpg,512,384,hamburger,150,143,395,328
hamburger/557542.jpg,512,512,hamburger,1,120,238,431
pizza/513415.jpg,512,512,pizza,1,19,512,339
pizza/413710.jpg,512,512,pizza,202,127,474,331
pizza/413710.jpg,512,512,pizza,49,204,441,400
french_fries/697086.jpg,512,306,french_fries,19,33,360,301
pizza/452989.jpg,512,509,pizza,16,73,489,488
pizza/452989.jpg,512,509,pizza,17,18,488,171
hamburger/396083.jpg,512,382,hamburger,137,11,432,340
sushi/911808.jpg,512,401,sushi,121,294,258,401
sushi/911808.jpg,512,401,sushi,1,304,113,396
french_fries/374001.jpg,512,512,french_fries,62,127,486,396
french_fries/203924.jpg,382,512,french_fries,1,131,183,512
hotdog/302949.jpg,512,406,hotdog,44,54,286,398
hotdog/302949.jpg,512,406,hotdog,173,24,396,396
hotdog/302949.jpg,512,406,hotdog,293,23,512,382
hotdog/302949.jpg,512,406,hotdog,424,29,512,270
french_fries/338259.jpg,382,512,french_fries,166,202,364,494
french_fries/1504529.jpg,512,512,french_fries,66,66,469,395
sushi/1172255.jpg,512,383,sushi,211,292,304,383
sushi/1172255.jpg,512,383,sushi,128,267,215,350
sushi/1152316.jpg,512,512,sushi,97,250,236,379
sushi/1152316.jpg,512,512,sushi,234,273,362,413
sushi/1152316.jpg,512,512,sushi,101,159,206,255
hotdog/2417.jpg,512,384,hotdog,51,14,512,384
hotdog/47936.jpg,512,384,hotdog,116,134,472,272
french_fries/557390.jpg,512,512,french_fries,1,20,509,446
hamburger/271916.jpg,512,382,hamburger,61,55,452,304
hamburger/1009426.jpg,512,512,hamburger,77,52,495,463
hotdog/211824.jpg,382,512,hotdog,166,268,274,427
hotdog/211824.jpg,382,512,hotdog,287,250,382,400
hamburger/155594.jpg,384,512,hamburger,2,191,372,429
french_fries/146029.jpg,384,512,french_fries,9,126,384,474
sushi/269460.jpg,512,384,sushi,57,182,188,296
sushi/269460.jpg,512,384,sushi,185,154,384,384
sushi/269460.jpg,512,384,sushi,348,59,500,287
sushi/136178.jpg,512,384,sushi,239,128,283,202
sushi/136178.jpg,512,384,sushi,401,226,458,305
sushi/136178.jpg,512,384,sushi,353,203,401,277
sushi/136178.jpg,512,384,sushi,268,56,310,125
hotdog/25587.jpg,342,512,hotdog,113,71,245,388
french_fries/1709793.jpg,512,512,french_fries,142,45,384,247
french_fries/411113.jpg,384,512,french_fries,1,67,383,359
french_fries/950224.jpg,512,512,french_fries,1,71,259,358
french_fries/1439792.jpg,512,512,french_fries,39,90,512,456
pizza/13983.jpg,512,384,pizza,1,83,510,332
hamburger/184955.jpg,512,382,hamburger,285,92,456,261
sushi/302102.jpg,382,512,sashimi,214,269,364,354
sushi/302102.jpg,382,512,sashimi,31,253,366,348
french_fries/580652.jpg,512,512,french_fries,3,2,507,510
hotdog/107518.jpg,512,382,hotdog,100,63,454,178
hotdog/107518.jpg,512,382,hotdog,80,167,466,342
sushi/1613878.jpg,512,512,sushi,305,34,461,228
sushi/515071.jpg,512,512,sushi,149,187,271,302
sushi/515071.jpg,512,512,sushi,137,187,420,321
sushi/1012499.jpg,512,512,sushi,298,174,467,316
sushi/1012499.jpg,512,512,sushi,143,197,289,337
french_fries/1772112.jpg,512,512,french_fries,75,1,424,507
french_fries/3139.jpg,512,384,french_fries,104,97,386,310
hamburger/868903.jpg,512,512,hamburger,55,36,512,432
pizza/300869.jpg,512,384,pizza,1,1,512,384
hotdog/343270.jpg,512,384,hotdog,235,169,445,322
pizza/395960.jpg,512,384,pizza,1,11,512,384
pizza/328965.jpg,512,384,pizza,10,55,512,363
